order_id,order_date,customer_id,region,product,sales_rep,quantity,unit_price,discount,revenue
ORD-1001,2026-01-01,CUST-100,West,Analytics Pro,Noah Chen,1,1500.00,0.10,1350.00
ORD-1002,2026-01-02,CUST-101,South,Insights Basic,Mia Patel,2,300.00,0.00,600.00
ORD-1003,2026-01-03,CUST-102,East,Automation Suite,Liam Jones,3,1000.00,0.00,3000.00
ORD-1004,2026-01-04,CUST-103,Midwest,Data Flow,Sophia Lee,1,300.00,0.00,300.00
ORD-1005,2026-01-05,CUST-104,North,Security Hub,Oliver Brown,2,800.00,0.00,1600.00
ORD-1006,2026-01-06,CUST-105,West,Governance Engine,Emma Wilson,3,300.00,0.10,810.00
ORD-1007,2026-01-07,CUST-106,South,Predictor API,Lucas Garcia,1,300.00,0.00,300.00
ORD-1008,2026-01-08,CUST-107,East,Reporter Tool,Isabella Martinez,2,300.00,0.20,480.00
ORD-1009,2026-01-09,CUST-108,Midwest,Integration Bus,Ethan Davis,3,300.00,0.00,900.00
ORD-1010,2026-01-10,CUST-109,North,Analytics Pro,Ava Singh,1,1500.00,0.00,1500.00
ORD-1011,2026-01-11,CUST-110,West,Insights Basic,Noah Chen,2,300.00,0.10,540.00
ORD-1012,2026-01-12,CUST-111,South,Automation Suite,Mia Patel,3,1000.00,0.00,3000.00
ORD-1013,2026-01-13,CUST-112,East,Data Flow,Liam Jones,1,300.00,0.00,300.00
ORD-1014,2026-01-14,CUST-113,Midwest,Security Hub,Sophia Lee,2,800.00,0.00,1600.00
ORD-1015,2026-01-15,CUST-114,North,Governance Engine,Oliver Brown,3,300.00,0.20,720.00
ORD-1016,2026-01-16,CUST-115,West,Predictor API,Emma Wilson,1,300.00,0.10,270.00
ORD-1017,2026-02-01,CUST-100,South,Analytics Pro,Mia Patel,1,1500.00,0.10,1350.00
ORD-1018,2026-02-02,CUST-102,East,Automation Suite,Liam Jones,2,1000.00,0.00,2000.00
ORD-1019,2026-02-03,CUST-104,Midwest,Security Hub,Sophia Lee,3,800.00,0.00,2400.00
ORD-1020,2026-02-04,CUST-106,North,Predictor API,Oliver Brown,1,300.00,0.00,300.00
ORD-1021,2026-02-05,CUST-108,West,Integration Bus,Emma Wilson,2,300.00,0.00,600.00
ORD-1022,2026-02-06,CUST-110,South,Insights Basic,Lucas Garcia,3,300.00,0.10,810.00
ORD-1023,2026-02-07,CUST-112,East,Data Flow,Isabella Martinez,1,300.00,0.00,300.00
ORD-1024,2026-02-08,CUST-114,Midwest,Governance Engine,Ethan Davis,2,300.00,0.20,480.00
ORD-1025,2026-02-09,CUST-116,North,Reporter Tool,Ava Singh,3,300.00,0.00,900.00
ORD-1026,2026-02-10,CUST-118,West,Analytics Pro,Noah Chen,1,1500.00,0.00,1500.00
ORD-1027,2026-02-11,CUST-120,South,Automation Suite,Mia Patel,2,1000.00,0.10,1800.00
ORD-1028,2026-02-12,CUST-122,East,Security Hub,Liam Jones,3,800.00,0.00,2400.00
ORD-1029,2026-02-13,CUST-124,Midwest,Predictor API,Sophia Lee,1,300.00,0.00,300.00
ORD-1030,2026-02-14,CUST-126,North,Integration Bus,Oliver Brown,2,300.00,0.00,600.00
ORD-1031,2026-02-15,CUST-128,West,Insights Basic,Emma Wilson,3,300.00,0.20,720.00
ORD-1032,2026-02-16,CUST-130,South,Data Flow,Lucas Garcia,1,300.00,0.10,270.00
ORD-1033,2026-03-01,CUST-100,East,Analytics Pro,Liam Jones,1,1500.00,0.10,1350.00
ORD-1034,2026-03-02,CUST-103,Midwest,Data Flow,Sophia Lee,2,300.00,0.00,600.00
ORD-1035,2026-03-03,CUST-106,North,Predictor API,Oliver Brown,3,300.00,0.00,900.00
ORD-1036,2026-03-04,CUST-109,West,Analytics Pro,Emma Wilson,1,1500.00,0.00,1500.00
ORD-1037,2026-03-05,CUST-112,South,Data Flow,Lucas Garcia,2,300.00,0.00,600.00
ORD-1038,2026-03-06,CUST-115,East,Predictor API,Isabella Martinez,3,300.00,0.10,810.00
ORD-1039,2026-03-07,CUST-118,Midwest,Analytics Pro,Ethan Davis,1,1500.00,0.00,1500.00
ORD-1040,2026-03-08,CUST-121,North,Data Flow,Ava Singh,2,300.00,0.20,480.00
ORD-1041,2026-03-09,CUST-124,West,Predictor API,Noah Chen,3,300.00,0.00,900.00
ORD-1042,2026-03-10,CUST-127,South,Analytics Pro,Mia Patel,1,1500.00,0.00,1500.00
ORD-1043,2026-03-11,CUST-130,East,Data Flow,Liam Jones,2,300.00,0.10,540.00
ORD-1044,2026-03-12,CUST-133,Midwest,Predictor API,Sophia Lee,3,300.00,0.00,900.00
ORD-1045,2026-03-13,CUST-136,North,Analytics Pro,Oliver Brown,1,1500.00,0.00,1500.00
ORD-1046,2026-03-14,CUST-139,West,Data Flow,Emma Wilson,2,300.00,0.00,600.00
ORD-1047,2026-03-15,CUST-142,South,Predictor API,Lucas Garcia,3,300.00,0.20,720.00
ORD-1048,2026-03-16,CUST-145,East,Analytics Pro,Isabella Martinez,1,1500.00,0.10,1350.00
ORD-1049,2026-04-01,CUST-100,Midwest,Analytics Pro,Sophia Lee,2,1500.00,0.10,2700.00
ORD-1050,2026-04-02,CUST-104,North,Security Hub,Oliver Brown,3,800.00,0.00,2400.00
ORD-1051,2026-04-03,CUST-108,West,Integration Bus,Emma Wilson,4,300.00,0.00,1200.00
ORD-1052,2026-04-04,CUST-112,South,Data Flow,Lucas Garcia,2,300.00,0.00,600.00
ORD-1053,2026-04-05,CUST-116,East,Reporter Tool,Isabella Martinez,3,300.00,0.00,900.00
ORD-1054,2026-04-06,CUST-120,Midwest,Automation Suite,Ethan Davis,4,1000.00,0.10,3600.00
ORD-1055,2026-04-07,CUST-124,North,Predictor API,Ava Singh,2,300.00,0.00,600.00
